id,company_name,company_type,hq_city,hq_province,regions_served,primary_services,client_types,evidence_links,summary,fit_rationale,drone_lidar_fit_signals,contacts,public_email,public_phone,contact_form_url,outreach_angle,fit_score,confidence_score,pipeline_stage,notes,last_verified_date
sc3d-sotheby-s-international-realty-canada,Sotheby's International Realty Canada,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://sothebysrealty.ca/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://sothebysrealty.ca/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-chestnut-park-real-estate,Chestnut Park Real Estate,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://www.chestnutpark.com/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.chestnutpark.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-harvey-kalles-real-estate,Harvey Kalles Real Estate,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://harveykalles.com/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://harveykalles.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-forest-hill-real-estate,Forest Hill Real Estate,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://foresthill.com/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://foresthill.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-the-agency-toronto,The Agency Toronto,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://www.theagencyre.com/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.theagencyre.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-re-max-hallmark,RE/MAX Hallmark,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://www.remaxhallmark.com/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.remaxhallmark.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-royal-lepage-signature-realty,Royal LePage Signature Realty,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://royallepagesignature.com/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://royallepagesignature.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-right-at-home-realty,Right At Home Realty,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://www.rightathomerealty.com/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://www.rightathomerealty.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-engel-volkers-toronto,Engel & Volkers Toronto,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://toronto.evrealestate.com/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://toronto.evrealestate.com/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
sc3d-berkshire-hathaway-homeservices-toronto-realty,Berkshire Hathaway HomeServices Toronto Realty,Real Estate Brokerage,Toronto,Ontario,Ontario,Luxury listing marketing; Property walkthroughs; Remote buyer previews; Website and MLS media,Brokerages; Listing agents; Property sellers,https://bhhst.ca/,"Real Estate Brokerage account target where photorealistic 3D spaces could support luxury listing marketing, property walkthroughs, remote buyer previews.","SC3D fit is based on a visible, valuable or complex space that can benefit from hosted Gaussian-splat digital twins, remote walkthroughs, web embeds, annotations, measurement and repeat capture. Public category signals include high-value spaces, remote buyer previews, embeddable walkthroughs.",High-value spaces; Remote buyer previews; Embeddable walkthroughs,NOT CONFIRMED | NOT CONFIRMED | Website/contact form | https://bhhst.ca/,NOT CONFIRMED,NOT CONFIRMED,NOT CONFIRMED,Offer photorealistic 3D walkthroughs that let buyers experience premium listings online before booking showings.,88,70,New,"Initial SplatCap3D lead database. Qualification is based on spatial/digital-twin fit, not drone survey fit. Verify contacts before outreach.",2026-07-21
